,0,1,policy,action
0,-0.26,-0.76,0,8
1,-0.26,-0.76,1,5
2,1.0,0.43999999999999995,0,7
3,1.0,0.43999999999999995,1,5
4,1.0,-0.8200000000000001,0,1
5,1.0,-0.8200000000000001,1,0
6,1.0,0.5,0,7
7,1.0,0.5,1,5
8,1.0,-0.9,0,0
9,1.0,-0.9,1,0
10,1.0,0.5800000000000001,0,8
11,1.0,0.5800000000000001,1,6
12,1.0,0.28,0,6
13,1.0,0.28,1,4
14,1.0,-0.6799999999999999,0,1
15,1.0,-0.6799999999999999,1,0
16,1.0,-0.98,0,0
17,1.0,-0.98,1,0
18,1.0,0.52,0,7
19,1.0,0.52,1,5
20,-0.26,-0.76,0,8
21,-0.26,-0.76,1,5
22,1.0,-0.88,0,0
23,1.0,-0.88,1,0
24,0.9199999999999999,-0.5,0,3
25,0.9199999999999999,-0.5,1,1
26,0.6799999999999999,0.0,0,6
27,0.6799999999999999,0.0,1,4
28,0.6600000000000001,-0.6,0,3
29,0.6600000000000001,-0.6,1,1
30,0.6400000000000001,-0.64,0,3
31,0.6400000000000001,-0.64,1,1
32,0.6400000000000001,0.6799999999999999,0,9
33,0.6400000000000001,0.6799999999999999,1,8
34,0.6000000000000001,-0.78,0,3
35,0.6000000000000001,-0.78,1,1
36,0.6400000000000001,-0.43999999999999995,0,4
37,0.6400000000000001,-0.43999999999999995,1,2
38,0.6400000000000001,-0.42000000000000004,0,5
39,0.6400000000000001,-0.42000000000000004,1,2
40,0.0,0.3600000000000001,0,9
41,0.0,0.3600000000000001,1,8
42,1.0,0.74,0,8
43,1.0,0.74,1,7
44,1.0,0.74,0,8
45,1.0,0.74,1,7
46,1.0,0.8800000000000001,0,9
47,1.0,0.8800000000000001,1,7
48,1.0,0.9199999999999999,0,9
49,1.0,0.9199999999999999,1,7
50,1.0,0.72,0,8
51,1.0,0.72,1,7
52,1.0,-0.74,0,1
53,1.0,-0.74,1,0
54,1.0,-0.8200000000000001,0,1
55,1.0,-0.8200000000000001,1,0
56,1.0,-0.86,0,0
57,1.0,-0.86,1,0
58,1.0,0.26,0,6
59,1.0,0.26,1,4
60,0.0,0.3600000000000001,0,9
61,0.0,0.3600000000000001,1,8
62,1.0,-0.56,0,2
63,1.0,-0.56,1,0
64,0.7,0.14000000000000012,0,7
65,0.7,0.14000000000000012,1,5
66,0.6400000000000001,-0.98,0,2
67,0.6400000000000001,-0.98,1,0
68,0.7,-1.0,0,1
69,0.7,-1.0,1,0
70,0.76,0.19999999999999996,0,7
71,0.76,0.19999999999999996,1,5
72,0.6400000000000001,0.6200000000000001,0,9
73,0.6400000000000001,0.6200000000000001,1,7
74,0.6000000000000001,-0.84,0,2
75,0.6000000000000001,-0.84,1,1
76,0.6400000000000001,0.76,0,9
77,0.6400000000000001,0.76,1,8
78,0.6200000000000001,-0.74,0,3
79,0.6200000000000001,-0.74,1,1
80,0.43999999999999995,-0.4,0,5
81,0.43999999999999995,-0.4,1,4
82,1.0,0.41999999999999993,0,7
83,1.0,0.41999999999999993,1,5
84,1.0,-0.94,0,0
85,1.0,-0.94,1,0
86,1.0,0.40000000000000013,0,7
87,1.0,0.40000000000000013,1,5
88,1.0,-0.5800000000000001,0,2
89,1.0,-0.5800000000000001,1,0
90,1.0,-0.020000000000000018,0,5
91,1.0,-0.020000000000000018,1,3
92,1.0,0.14000000000000012,0,5
93,1.0,0.14000000000000012,1,4
94,1.0,-0.94,0,0
95,1.0,-0.94,1,0
96,1.0,0.3600000000000001,0,7
97,1.0,0.3600000000000001,1,5
98,1.0,-0.52,0,2
99,1.0,-0.52,1,0
100,0.43999999999999995,-0.4,0,5
101,0.43999999999999995,-0.4,1,4
102,1.0,0.52,0,7
103,1.0,0.52,1,5
104,0.6600000000000001,-0.48,0,4
105,0.6600000000000001,-0.48,1,2
106,0.6400000000000001,0.040000000000000036,0,7
107,0.6400000000000001,0.040000000000000036,1,5
108,0.6400000000000001,0.6000000000000001,0,9
109,0.6400000000000001,0.6000000000000001,1,7
110,0.6200000000000001,-0.17999999999999994,0,6
111,0.6200000000000001,-0.17999999999999994,1,4
112,0.6400000000000001,0.6400000000000001,0,9
113,0.6400000000000001,0.6400000000000001,1,7
114,0.5800000000000001,-0.7,0,3
115,0.5800000000000001,-0.7,1,1
116,0.6400000000000001,0.28,0,8
117,0.6400000000000001,0.28,1,6
118,0.6200000000000001,0.3600000000000001,0,9
119,0.6200000000000001,0.3600000000000001,1,6
120,0.96,0.74,0,9
121,0.96,0.74,1,7
122,1.0,-0.86,0,0
123,1.0,-0.86,1,0
124,1.0,-0.48,0,2
125,1.0,-0.48,1,1
126,1.0,-0.5,0,2
127,1.0,-0.5,1,0
128,1.0,-0.56,0,2
129,1.0,-0.56,1,0
130,1.0,-0.8200000000000001,0,1
131,1.0,-0.8200000000000001,1,0
132,1.0,0.3400000000000001,0,7
133,1.0,0.3400000000000001,1,4
134,1.0,-0.54,0,2
135,1.0,-0.54,1,0
136,1.0,-0.45999999999999996,0,3
137,1.0,-0.45999999999999996,1,1
138,1.0,-0.26,0,4
139,1.0,-0.26,1,2
140,0.96,0.74,0,9
141,0.96,0.74,1,7
142,1.0,0.6600000000000001,0,8
143,1.0,0.6600000000000001,1,6
144,0.6799999999999999,-0.24,0,5
145,0.6799999999999999,-0.24,1,3
146,0.6400000000000001,-0.84,0,2
147,0.6400000000000001,-0.84,1,0
148,0.6400000000000001,-0.36,0,5
149,0.6400000000000001,-0.36,1,3
150,0.6400000000000001,-0.31999999999999995,0,5
151,0.6400000000000001,-0.31999999999999995,1,3
152,0.6400000000000001,-0.8,0,2
153,0.6400000000000001,-0.8,1,1
154,0.6400000000000001,-0.54,0,4
155,0.6400000000000001,-0.54,1,2
156,0.6400000000000001,-0.7,0,3
157,0.6400000000000001,-0.7,1,1
158,0.6400000000000001,0.74,0,9
159,0.6400000000000001,0.74,1,8
160,0.41999999999999993,0.8400000000000001,0,9
161,0.41999999999999993,0.8400000000000001,1,8
162,1.0,0.48,0,7
163,1.0,0.48,1,5
164,1.0,0.24,0,6
165,1.0,0.24,1,4
166,1.0,-0.07999999999999996,0,5
167,1.0,-0.07999999999999996,1,2
168,1.0,-0.36,0,3
169,1.0,-0.36,1,1
170,1.0,0.76,0,9
171,1.0,0.76,1,7
172,1.0,-0.54,0,2
173,1.0,-0.54,1,0
174,1.0,0.10000000000000009,0,5
175,1.0,0.10000000000000009,1,3
176,1.0,0.30000000000000004,0,6
177,1.0,0.30000000000000004,1,4
178,1.0,0.54,0,7
179,1.0,0.54,1,6
180,0.41999999999999993,0.8400000000000001,0,9
181,0.41999999999999993,0.8400000000000001,1,8
182,1.0,-1.0,0,0
183,1.0,-1.0,1,0
184,1.0,0.54,0,7
185,1.0,0.54,1,6
186,0.6600000000000001,-0.88,0,2
187,0.6600000000000001,-0.88,1,0
188,0.6600000000000001,0.040000000000000036,0,6
189,0.6600000000000001,0.040000000000000036,1,5
190,0.6400000000000001,0.7,0,9
191,0.6400000000000001,0.7,1,8
192,0.6000000000000001,0.40000000000000013,0,9
193,0.6000000000000001,0.40000000000000013,1,7
194,0.6600000000000001,-0.96,0,2
195,0.6600000000000001,-0.96,1,0
196,0.7,0.52,0,9
197,0.7,0.52,1,7
198,0.6600000000000001,0.8200000000000001,0,9
199,0.6600000000000001,0.8200000000000001,1,8
200,0.5,-0.86,0,3
201,0.5,-0.86,1,1
202,1.0,0.54,0,7
203,1.0,0.54,1,6
204,1.0,0.43999999999999995,0,7
205,1.0,0.43999999999999995,1,5
206,1.0,0.5,0,7
207,1.0,0.5,1,5
208,1.0,0.52,0,7
209,1.0,0.52,1,5
210,1.0,-0.14,0,4
211,1.0,-0.14,1,2
212,1.0,-0.6,0,2
213,1.0,-0.6,1,0
214,1.0,-0.4,0,3
215,1.0,-0.4,1,1
216,1.0,-0.28,0,3
217,1.0,-0.28,1,2
218,1.0,-0.86,0,0
219,1.0,-0.86,1,0
220,0.5,-0.86,0,3
221,0.5,-0.86,1,1
222,1.0,0.3600000000000001,0,7
223,1.0,0.3600000000000001,1,5
224,0.6400000000000001,0.14000000000000012,0,7
225,0.6400000000000001,0.14000000000000012,1,5
226,0.6400000000000001,0.6400000000000001,0,9
227,0.6400000000000001,0.6400000000000001,1,7
228,0.5800000000000001,0.9199999999999999,0,9
229,0.5800000000000001,0.9199999999999999,1,8
230,0.6200000000000001,-0.74,0,3
231,0.6200000000000001,-0.74,1,1
232,0.6400000000000001,-0.8,0,2
233,0.6400000000000001,-0.8,1,1
234,0.6400000000000001,-0.54,0,4
235,0.6400000000000001,-0.54,1,2
236,0.6400000000000001,0.6200000000000001,0,9
237,0.6400000000000001,0.6200000000000001,1,7
238,0.6000000000000001,-0.86,0,2
239,0.6000000000000001,-0.86,1,1
240,0.48,0.8400000000000001,0,9
241,0.48,0.8400000000000001,1,8
242,1.0,-0.6,0,2
243,1.0,-0.6,1,0
244,1.0,-0.36,0,3
245,1.0,-0.36,1,1
246,1.0,-0.76,0,1
247,1.0,-0.76,1,0
248,1.0,0.30000000000000004,0,6
249,1.0,0.30000000000000004,1,4
250,1.0,0.8800000000000001,0,9
251,1.0,0.8800000000000001,1,7
252,1.0,0.19999999999999996,0,6
253,1.0,0.19999999999999996,1,4
254,1.0,-0.52,0,2
255,1.0,-0.52,1,0
256,1.0,0.6400000000000001,0,8
257,1.0,0.6400000000000001,1,6
258,1.0,0.94,0,9
259,1.0,0.94,1,7
260,0.48,0.8400000000000001,0,9
261,0.48,0.8400000000000001,1,8
262,1.0,0.8400000000000001,0,9
263,1.0,0.8400000000000001,1,7
264,0.6400000000000001,0.96,0,9
265,0.6400000000000001,0.96,1,8
266,0.6200000000000001,-0.8,0,3
267,0.6200000000000001,-0.8,1,1
268,0.6400000000000001,0.08000000000000007,0,7
269,0.6400000000000001,0.08000000000000007,1,5
270,0.6400000000000001,0.9199999999999999,0,9
271,0.6400000000000001,0.9199999999999999,1,8
272,0.6200000000000001,0.6400000000000001,0,9
273,0.6200000000000001,0.6400000000000001,1,8
274,0.6000000000000001,0.72,0,9
275,0.6000000000000001,0.72,1,8
276,0.6200000000000001,0.40000000000000013,0,9
277,0.6200000000000001,0.40000000000000013,1,7
278,0.6600000000000001,0.32000000000000006,0,8
279,0.6600000000000001,0.32000000000000006,1,6
280,-0.040000000000000036,0.08000000000000007,0,9
281,-0.040000000000000036,0.08000000000000007,1,8
282,1.0,-0.7,0,1
283,1.0,-0.7,1,0
284,1.0,-0.9,0,0
285,1.0,-0.9,1,0
286,1.0,-0.6599999999999999,0,1
287,1.0,-0.6599999999999999,1,0
288,1.0,-0.16000000000000003,0,4
289,1.0,-0.16000000000000003,1,2
290,1.0,-0.6,0,2
291,1.0,-0.6,1,0
292,1.0,-0.040000000000000036,0,5
293,1.0,-0.040000000000000036,1,3
294,1.0,-0.56,0,2
295,1.0,-0.56,1,0
296,1.0,-0.74,0,1
297,1.0,-0.74,1,0
298,1.0,0.94,0,9
299,1.0,0.94,1,7
300,-0.040000000000000036,0.08000000000000007,0,9
301,-0.040000000000000036,0.08000000000000007,1,8
302,1.0,0.6799999999999999,0,8
303,1.0,0.6799999999999999,1,6
304,0.6799999999999999,-0.8,0,2
305,0.6799999999999999,-0.8,1,0
306,0.6400000000000001,0.9199999999999999,0,9
307,0.6400000000000001,0.9199999999999999,1,8
308,0.6200000000000001,0.10000000000000009,0,7
309,0.6200000000000001,0.10000000000000009,1,5
310,0.6400000000000001,0.21999999999999997,0,8
311,0.6400000000000001,0.21999999999999997,1,6
312,0.6200000000000001,0.1200000000000001,0,7
313,0.6200000000000001,0.1200000000000001,1,5
314,0.6400000000000001,0.78,0,9
315,0.6400000000000001,0.78,1,8
316,0.6200000000000001,-0.5800000000000001,0,4
317,0.6200000000000001,-0.5800000000000001,1,2
318,0.6400000000000001,0.9199999999999999,0,9
319,0.6400000000000001,0.9199999999999999,1,8
320,-0.5,-0.72,0,9
321,-0.5,-0.72,1,7
322,1.0,-0.74,0,1
323,1.0,-0.74,1,0
324,1.0,0.6799999999999999,0,8
325,1.0,0.6799999999999999,1,6
326,1.0,-0.14,0,4
327,1.0,-0.14,1,2
328,1.0,-0.88,0,0
329,1.0,-0.88,1,0
330,1.0,0.54,0,7
331,1.0,0.54,1,6
332,1.0,0.1200000000000001,0,5
333,1.0,0.1200000000000001,1,4
334,1.0,0.17999999999999994,0,6
335,1.0,0.17999999999999994,1,4
336,1.0,-0.7,0,1
337,1.0,-0.7,1,0
338,1.0,-0.52,0,2
339,1.0,-0.52,1,0
340,-0.5,-0.72,0,9
341,-0.5,-0.72,1,7
342,1.0,0.32000000000000006,0,6
343,1.0,0.32000000000000006,1,4
344,0.6400000000000001,0.41999999999999993,0,9
345,0.6400000000000001,0.41999999999999993,1,7
346,0.6600000000000001,0.06000000000000005,0,7
347,0.6600000000000001,0.06000000000000005,1,5
348,0.6400000000000001,0.3800000000000001,0,8
349,0.6400000000000001,0.3800000000000001,1,6
350,0.6400000000000001,-0.28,0,5
351,0.6400000000000001,-0.28,1,3
352,0.6400000000000001,-0.5800000000000001,0,4
353,0.6400000000000001,-0.5800000000000001,1,2
354,0.6400000000000001,-0.19999999999999996,0,5
355,0.6400000000000001,-0.19999999999999996,1,4
356,0.6400000000000001,0.54,0,9
357,0.6400000000000001,0.54,1,7
358,0.6600000000000001,0.8200000000000001,0,9
359,0.6600000000000001,0.8200000000000001,1,8
360,-0.05999999999999994,0.54,0,9
361,-0.05999999999999994,0.54,1,8
362,1.0,-0.19999999999999996,0,4
363,1.0,-0.19999999999999996,1,2
364,1.0,0.56,0,8
365,1.0,0.56,1,6
366,1.0,-0.09999999999999998,0,4
367,1.0,-0.09999999999999998,1,2
368,1.0,0.74,0,8
369,1.0,0.74,1,7
370,1.0,-0.6799999999999999,0,1
371,1.0,-0.6799999999999999,1,0
372,1.0,-0.43999999999999995,0,3
373,1.0,-0.43999999999999995,1,1
374,1.0,-0.09999999999999998,0,4
375,1.0,-0.09999999999999998,1,2
376,1.0,0.3400000000000001,0,7
377,1.0,0.3400000000000001,1,4
378,1.0,0.32000000000000006,0,6
379,1.0,0.32000000000000006,1,4
380,-0.05999999999999994,0.54,0,9
381,-0.05999999999999994,0.54,1,8
382,1.0,-0.07999999999999996,0,5
383,1.0,-0.07999999999999996,1,2
384,0.6600000000000001,-1.0,0,1
385,0.6600000000000001,-1.0,1,0
386,0.72,-0.42000000000000004,0,4
387,0.72,-0.42000000000000004,1,2
388,0.6400000000000001,0.26,0,8
389,0.6400000000000001,0.26,1,6
390,0.6200000000000001,0.5,0,9
391,0.6200000000000001,0.5,1,7
392,0.6600000000000001,-0.29999999999999993,0,5
393,0.6600000000000001,-0.29999999999999993,1,3
394,0.6400000000000001,0.06000000000000005,0,7
395,0.6400000000000001,0.06000000000000005,1,5
396,0.6400000000000001,0.8600000000000001,0,9
397,0.6400000000000001,0.8600000000000001,1,8
398,0.6200000000000001,-0.33999999999999997,0,5
399,0.6200000000000001,-0.33999999999999997,1,3
400,0.6799999999999999,0.6600000000000001,0,9
401,0.6799999999999999,0.6600000000000001,1,7
402,1.0,-0.040000000000000036,0,5
403,1.0,-0.040000000000000036,1,3
404,1.0,0.08000000000000007,0,5
405,1.0,0.08000000000000007,1,3
406,1.0,-0.36,0,3
407,1.0,-0.36,1,1
408,1.0,-0.43999999999999995,0,3
409,1.0,-0.43999999999999995,1,1
410,1.0,0.10000000000000009,0,5
411,1.0,0.10000000000000009,1,3
412,1.0,0.6400000000000001,0,8
413,1.0,0.6400000000000001,1,6
414,1.0,-0.38,0,3
415,1.0,-0.38,1,1
416,1.0,-0.43999999999999995,0,3
417,1.0,-0.43999999999999995,1,1
418,1.0,0.8800000000000001,0,9
419,1.0,0.8800000000000001,1,7
420,0.6799999999999999,0.6600000000000001,0,9
421,0.6799999999999999,0.6600000000000001,1,7
422,1.0,-0.84,0,1
423,1.0,-0.84,1,0
424,0.8800000000000001,0.98,0,9
425,0.8800000000000001,0.98,1,7
426,0.5800000000000001,-0.36,0,5
427,0.5800000000000001,-0.36,1,3
428,0.6400000000000001,-0.84,0,2
429,0.6400000000000001,-0.84,1,0
430,0.6400000000000001,0.6799999999999999,0,9
431,0.6400000000000001,0.6799999999999999,1,8
432,0.6000000000000001,0.54,0,9
433,0.6000000000000001,0.54,1,7
434,0.6400000000000001,0.0,0,6
435,0.6400000000000001,0.0,1,5
436,0.6600000000000001,0.5800000000000001,0,9
437,0.6600000000000001,0.5800000000000001,1,7
438,0.6400000000000001,-0.17999999999999994,0,6
439,0.6400000000000001,-0.17999999999999994,1,4
440,0.6600000000000001,-0.52,0,4
441,0.6600000000000001,-0.52,1,2
442,1.0,-0.6,0,2
443,1.0,-0.6,1,0
444,1.0,-0.12,0,4
445,1.0,-0.12,1,2
